pre_agg,post_agg,change_agg,treatment,cutpoint_margin,use,military_spending,total_pop,urban_pop,us_ally,entrance_year,imports,exports,ongoing_civwar,soccer_popular,infant_mortality,life_expectancy,democracy
0,0,0,1,2,1,1080308000,7970000,2017000,0,1816,5903000000,5690100000,0,1,16,73.44,1
0,0,0,1,2,1,628002000,9646000,916000,1,1830,9553628000,9617682000,0,1,27,70.06,1
0,1,1,1,2,1,468085000,25198000,9852000,1,1841,2241340000,3268650000,0,1,57,65.75,1
0,0,0,1,2,1,7980000,4760000,466000,1,1859,76150000,51170000,0,1,154,46.12,0
0,0,0,1,2,1,7430300000,34698000,9499000,0,1918,16471600000,12265100000,0,1,28,70.57,0
0,0,0,1,2,1,2689664000,8252000,2282000,0,1816,20114300000,19043100000,0,1,10,74.78,1
0,0,0,1,2,1,2087465000,36351000,14088000,1,1816,17834000000,10221000000,0,1,24,72.51,0
0,0,0,1,2,1,700215000,7569000,2317000,0,1919,21029300000,15832300000,0,1,17,71.99,1
2,1,-1,1,2,1,887554000,17720000,6527000,1,1839,3777390000,3246900000,0,1,99,58.48,1
4,4,0,1,2,1,275000000000,277334000,112227000,0,NA,54111100000,44125400000,0,1,26,67.9,0
0,0,0,1,2,1,1410000000,7659000,2277000,0,1919,38901800000,32448500000,0,1,13,73.14,1
0,0,0,1,2,1,4600000000,15638000,3195000,0,1918,15530200000,14109400000,0,1,13,71.3,0
3,3,0,1,2,1,295000000000,247342000,63402000,NA,1816,493000000000,364000000000,0,0,12,74.32,1
2,0,-2,1,2,1,7356000000,15290000,4354000,1,1816,113000000000,128000000000,0,1,7,76.73,1
0,3,3,1,2,1,134000000,12483000,1961000,0,1960,881080000,1354070000,0,1,93,53.24,0
0,0,0,1,2,1,42000000,2554000,570000,1,1962,3069440000,1896020000,0,0,29,70.44,1
1,0,-1,1,2,1,33000000,5337000,747000,0,1960,589550000,364110000,0,1,77,55.2,0
0,0,0,1,3,0,764401000,12820000,1781000,0,1918,879200000,993590000,0,1,NA,NA,0
1,0,-1,1,3,0,5167691000,48758000,8820000,1,1816,10286700000,10029400000,0,1,25,70.75,1
0,0,0,1,3,0,280781000,10153000,2403000,0,1918,1520300000,1509500000,0,1,43,68.79,0
0,0,0,1,3,0,132186000,43148000,10086000,1,1831,1553000000,1141500000,0,1,88,58.45,0
0,0,0,1,3,0,37200000,2792000,1179000,1,1882,198740000,200340000,0,1,48,68.25,1
1,0,-1,1,3,0,1596300000,8621000,2005000,0,1908,1714590000,1730270000,0,1,31,70.9,0
0,0,0,1,3,0,533541000,62538000,22722000,1,1831,5485900000,4170700000,0,1,69,62.55,0
0,2,2,1,3,0,6809000000,25843000,8144000,1,1920,86540300000,90781700000,0,0,9,75.83,1
0,0,0,1,3,0,2517000000,43336000,11997000,0,1920,NA,NA,0,1,51,61.21,1
4,7,3,1,3,0,322000000000,285112000,76419000,NA,1816,1180000000000,731000000000,0,0,7,76.45,1
0,0,0,1,3,0,83000000,21844000,4342000,0,1957,10227400000,3511690000,0,1,62,59.45,1
0,0,0,1,4,0,23003000,6201000,891000,0,1816,241430000,237640000,0,1,NA,NA,1
0,0,0,1,4,0,392921000,8778000,874000,1,1830,2310557000,2145455000,0,1,NA,NA,1
0,0,0,1,4,0,3490000000,42652000,7125000,1,1816,3567100000,3267300000,0,1,NA,NA,1
2,2,0,1,4,0,558000000,17048000,1331000,0,1878,392000000,184300000,0,1,NA,NA,0
0,0,0,1,4,0,603632000,57164000,8391000,1,1822,1447820000,1536100000,0,1,NA,NA,1
