warnum,start_year,duration,side1,side2,side1_initiator,side2_initiator,side1_winner,side2_winner,side1_deaths,side2_deaths,side1_polyarchy,side2_polyarchy,side1_polity2,side2_polity2,side1_qudsest,side2_qudsest,min_polyarchy,min_polity2,min_qudsest
 83,1900, 1,Russia,China,1,0,1,0,      242,     3758,-1.29471526,-1.30884643,-1.49121845,-0.94308921,-2.279211774,-0.91550267,-1.3088464,-1.49121845,-2.27921177
 85,1904, 2,Japan,Russia,1,0,1,0,   160756,   142906,-0.88491146,-1.29294886, 0.01613698,-1.35418614,-0.421512421,-1.80528849,-1.3053136,-1.49121845,-2.27921177
 88,1906, 1,Guatemala,"Honduras, El Salvador",1,0,1,0,      800,      600,-1.15693639,-0.90964100,-1.35418614,-0.53199227,-1.343723351,-0.60724901,-1.1569364,-1.35418614,-1.34372335
 91,1907, 1,Nicaragua,"Honduras, El Salvador",1,0,1,0,      800,      600,-1.16046919,-1.04035428,-0.80605689,-0.94308921,-0.722600936,-0.96088434,-1.1604692,-0.94308921,-1.14539841
 94,1909, 2,Spain,Morocco,1,0,1,0,     4000,    16000,-0.79129248,-1.36713748, 0.70129854,-0.94308921, 0.148451610,-0.68488767,-1.3724367,-0.94308921,-0.68488767
 97,1911, 2,Italy,Turkey,1,0,1,0,    12000,    28000,-0.39032066,-0.98206322,-0.25792765,-0.25792765,-0.328661800,-0.47231020,-1.0120919,-0.25792765,-0.49939236
100,1912, 2,"Yugoslavia, Greece, Bulgaria",Turkey,1,0,1,0,    57000,   120000,-0.41681659,-1.04477027, 0.39297584,-0.25792765,-0.191790580,-0.50109020,-1.1428052,-1.35418614,-1.26402553
103,1913, 1,"Yugoslavia, Greece, Romania, Turkey",Bulgaria,0,1,1,0,    42500,    72000,-0.65792961,-0.70827188, 0.18742737,NA,-0.208149180,-1.12322825,-1.1428052,-0.66902458,-1.12322825
106,1914, 5,"United States, United Kingdom, Belgium, France, Portugal, Italy, Yugoslavia, Greece, Romania, Russia, Japan","Germany, Austria-Hungary, Bulgaria, Turkey",0,1,1,0, 84814793,141695400,-0.44294180,-0.85541265, 0.41638963,-0.37883851,-0.063760338,-0.76075579,-1.2240594,-1.35418614,-1.64223261
107,1918, 3,"Estonia, Finland",Russia,0,1,1,0,    11250,    48000, 0.39690303,-1.07214940, 1.19461486,-0.25792765, 0.612119653,-0.36972789,-1.1110101,-0.25792765,-0.48028839
108,1918, 3,"Germany, Estonia, Latvia","Germany, Russia",0,1,0,0,    16084,    57500, 0.09190537,-0.82681666, 0.95252445,-0.04476627,-0.105555657,-0.16669583,-1.1110101,-0.25792765,-1.65834625
109,1919, 2,Poland,Russia,0,1,1,0,    80000,   120000, 0.28620890,-1.10747731, 0.97536316,-0.25792765, 0.449709367,-0.36972789,-1.1110101,-0.25792765,-0.36972789
112,1919, 1,"Czechoslovakia, Romania",Hungary,1,0,1,0,     5000,    12000,-0.60935373,-0.71533747, 0.08465314,-1.08012152,-0.149169457,-1.04618951,-0.7153375,-1.08012152,-1.04618951
115,1919, 4,Turkey,Greece,0,1,1,0,    80000,   120000,-1.12249168,-0.17923637,-0.12089533,-0.02954046,-0.859629353,-0.15472674,-1.1322069,-0.12089533,-1.20865519
116,1919, 3,France,Turkey,1,0,0,0,    15000,   105000, 0.48227882,-1.12631887, 1.11239548,NA, 0.478853071,-1.02371477,-1.1322069, 1.11239548,-1.20865519
117,1920, 1,Poland,Lithuania,1,0,1,0,      500,      500, 0.77903330, 0.10427014, 0.97536316, 0.42723392, 0.449709367, 0.20474304, 0.1042701, 0.42723392, 0.20474304
118,1929, 1,Russia,China,1,0,1,0,      200,     3000,-1.11807569,-1.13573965,-1.21715383,-0.80605689,-1.163491296,-0.74636091,-1.1357396,-1.21715383,-1.16349130
121,1931, 3,Japan,China,1,0,1,0,    30000,   150000,-0.74948778,-1.16046919, 0.01613698,-0.80605689,-0.300236940,-0.74636091,-1.1604692,-0.80605689,-0.74636091
124,1932, 4,Paraguay,Bolivia,0,1,1,0,   144000,   226644,-0.78069411,-1.00944235,-0.53199227, 0.15316929,-0.489654352,-0.23568359,-1.1816659,-0.53199227,-0.48965435
125,1934, 1,Saudi Arabia,Yemen Arab Republic,1,0,1,0,      100,     2000,-1.45369087,NA,-1.49121845,-1.49121845,-2.279303967,-2.27930397,-1.4536909,-1.49121845,-2.27930397
127,1935, 2,Italy,Ethiopia,1,0,1,0,     8000,    32000,-1.27351851,-1.42542854,-1.35418614,-0.80605689,-1.361440350,-0.74114879,-1.4289613,-1.35418614,-1.36144035
130,1937, 5,Japan,China,1,0,1,0,  1250000,  3750000,-0.87855243,-1.15976263, 0.01613698,NA,-0.342264680,-0.88312509,-1.1746004, 0.01613698,-0.88314591
133,1938, 1,Japan,Russia,1,0,0,1,      526,     1200,-0.85664912,-1.15340360, 0.01613698,-1.35418614,-0.336850990,-1.32459464,-1.1534036,-1.35418614,-1.32459464
136,1939, 1,"Russia, Mongolia",Japan,0,1,1,0,     8000,    40000,-1.14457162,-0.86371471,-1.35418614, 0.01613698,-1.324594644,-0.33685099,-1.1534036,-1.35418614,-1.32459464
139,1939, 7,"United States, Canada, Brazil, United Kingdom, Netherlands, Belgium, France, Poland, Italy, Yugoslavia, Greece, Bulgaria, Romania, Russia, Norway, Ethiopia, South Africa, China, Mongolia, Australia, New Zealand","France, Germany, Hungary, Italy, Bulgaria, Romania, Finland, Japan",0,1,1,0,306106677,354495500, 0.01888712,-0.84369556, 0.55237106,-0.64209064, 0.239406452,-0.77830338,-1.4360269,-1.49121845,-1.63323907
142,1939, 2,Russia,Finland,1,0,1,0,   253750,    49846,-1.14810442, 0.36039752,-1.35418614, 0.42723392,-1.324594644, 0.32573345,-1.1534036,-1.35418614,-1.32459464
145,1940, 2,Thailand,France,1,0,1,0,     1400,     1400,-0.90610820,-0.62348489,-0.53199227,-1.35418614,-0.549533026,-1.19140776,-1.1604692,-1.35418614,-1.24581175
147,1947, 3,India,Pakistan,1,0,0,0,     7500,     3000,-0.75890856,-0.83191958,NA,-0.02954046,-0.007938199,-0.14518727,-0.8601819,-0.66902458,-0.42985263
148,1948, 2,Israel,"Iraq, Egypt, Syria, Lebanon, Jordan",0,1,1,0,    33000,    12000,-0.38229159,-0.71084119, 1.24942779,-0.25792765, 0.577043155,-0.49332749,-0.9767640,-1.49121845,-1.60200093
151,1950, 4,"United States, Canada, Colombia, United Kingdom, Netherlands, Belgium, France, Greece, Ethiopia, Turkey, South Korea, Thailand, Philippines, Australia","China, North Korea",0,1,0,0,  1365066, 36220359, 0.28509138,-1.16677774, 0.54748676,-1.14863767, 0.493434010,-1.13143949,-1.4218958,-1.35418614,-1.49133999
