County Name,Precinct Name,Precinct Code,Region Name,Media Market,Registered Voters,Ballots Counted,Official Voter Turnout
Allen,BLUFFTON C,AFK,West,Lima,803,368,45.83%
Allen,SHAWNEE A,AFN,West,Lima,702,337,48.01%
Allen,SHAWNEE B,AFO,West,Lima,691,332,48.05%
Allen,SHAWNEE C,AFP,West,Lima,612,188,30.72%
Allen,SHAWNEE D,AFQ,West,Lima,837,409,48.86%
Allen,SHAWNEE E,AFR,West,Lima,693,304,43.87%
Allen,SHAWNEE F,AFS,West,Lima,800,384,48.00%
Allen,SHAWNEE G,AFT,West,Lima,827,388,46.92%
Allen,SHAWNEE H,AFU,West,Lima,730,311,42.60%
Allen,SHAWNEE I,AFV,West,Lima,749,346,46.19%
Allen,SHAWNEE J,AGB,West,Lima,888,366,41.22%
Allen,SHAWNEE K,AGC,West,Lima,842,316,37.53%
Allen,SHAWNEE L,AGD,West,Lima,764,265,34.69%
Allen,SPENCER A,AGI,West,Lima,606,258,42.57%
Allen,SPENCERVILLE A,AGK,West,Lima,631,219,34.71%
Allen,SPENCERVILLE B,AGL,West,Lima,596,211,35.40%
Allen,SUGAR CREEK,AGN,West,Lima,800,402,50.25%
Ashland,PRECINCT ASHLAND CITY 1-A,AAA,Northeast,Cleveland,903,457,50.61%
Ashland,PRECINCT ASHLAND CITY 1-B,AAB,Northeast,Cleveland,"1,099",450,40.95%
Ashland,PRECINCT ASHLAND CITY 1-C,AAD,Northeast,Cleveland,"1,100",512,46.55%
Ashland,PRECINCT ASHLAND CITY 1-D,AAF,Northeast,Cleveland,679,380,55.96%
Ashland,PRECINCT ASHLAND CITY 2-A,AAG,Northeast,Cleveland,922,382,41.43%
Ashland,PRECINCT ASHLAND CITY 2-B,AAH,Northeast,Cleveland,"1,112",418,37.59%
Ashland,PRECINCT ASHLAND CITY 2-C,AAJ,Northeast,Cleveland,918,444,48.37%
Ashland,PRECINCT ASHLAND CITY 3-A,AAQ,Northeast,Cleveland,750,271,36.13%
Ashland,PRECINCT ASHLAND CITY 3-B,AAS,Northeast,Cleveland,931,372,39.96%
Ashland,PRECINCT ASHLAND CITY 3-C,AAU,Northeast,Cleveland,"1,011",440,43.52%
