county_name,region_name,media_market,prop_aug_issue1_yes,total_aug_turnout,total_reg_voters,prop_nov_issue1_yes,prop_nov_issue2_yes,total_nov_votes,total_2020_reg_voters,total_2020_votes,prop_trump_votes,male_population,median_age,population,white_population,black_population,noncitizen,bach_degree,mast_degree,prof_degree,doct_degree,median_income,id
Harrison County,Southeast,Wheeling,0.6260162601626016,3321,9799,0.38,0.44,4546,10205,7726,0.7496764172922599,7171,46.2,14623,14120,627,55,823,288,81,102,51993,39067
Henry County,Northwest,Toledo,0.65020366598778,7856,19882,0.35,0.42,9764,19710,14907,0.7029583417186557,13761,41.4,27618,26197,369,189,2263,856,166,89,64513,39069
Highland County,Southwest,Cincinnati,0.7173060156931125,9176,26895,0.34,0.46,11697,27351,19792,0.7921382376717866,21141,40.6,43162,42270,1091,167,2492,1421,173,68,52376,39071
Hocking County,Central,Columbus,0.553788447111778,6665,18026,0.48,0.53,8882,18645,13915,0.6997484728710025,14204,42.5,28180,27691,395,11,1978,744,143,80,56755,39073
Holmes County,Northeast,Cleveland,0.73,6000,17597,0.25,0.31,8654,18286,13246,0.8150385021893402,22268,32.1,44166,43837,299,26,1765,767,142,71,69454,39075
Huron County,Northeast,Cleveland,0.585764969951488,13811,36094,0.44,0.51,17750,36886,27397,0.6919005730554441,29055,39.9,58583,56996,1205,408,4084,1366,237,279,59049,39077
Jackson County,Southeast,Charleston,0.6010031131096506,5782,20286,0.37,0.49,8170,21013,14932,0.7573667291722476,16002,39.7,32531,32123,541,126,2134,1022,109,102,50983,39079
Jefferson County,Southeast,Wheeling,0.5648346930012881,13974,45808,0.41,0.49,19707,48167,33694,0.6775093488454917,32150,44.6,65620,61257,4590,236,5555,2392,272,286,49211,39081
Knox County,Central,Columbus,0.6255972696245734,17580,41826,0.42,0.47,21956,42320,31595,0.7070739040987498,30479,39.2,62399,60990,1070,467,5932,2506,449,402,64439,39083
Lake County,Northeast,Cleveland,0.4123758215412596,72577,160821,0.6,0.59,88547,163936,131603,0.5568110149464678,114080,43.9,232202,214897,13914,5232,31244,13842,1994,1365,70168,39085
Lawrence County,Southeast,Charleston,0.5848013372765848,7777,41664,0.34,0.52,16382,44119,28473,0.7131668598321217,28599,41.8,58570,56968,1739,248,4328,1944,407,296,48947,39087
Licking County,Central,Columbus,0.5207687039200677,49642,124904,0.51,0.53,61545,124208,94899,0.627129895994689,87551,40.1,177454,164761,10179,1610,23287,9141,1261,730,72771,39089
Logan County,West,Dayton,0.6457166562953744,9642,31922,0.37,0.49,15377,32218,23706,0.7577828397873956,23086,41.5,45997,44566,1458,263,3778,1674,128,138,64196,39091
Lorain County,Northeast,Cleveland,0.3709807120797156,85805,217281,0.62,0.59,109046,218501,158732,0.5009701887458106,154310,41.9,311737,276452,32729,3398,35993,15754,2668,1893,62390,39093
Lucas County,Northwest,Toledo,0.32624786689419794,93760,295223,0.64,0.61,117344,299794,202321,0.40412512789082694,209708,38.2,431212,329011,96529,6522,50444,21200,5599,3615,53176,39095
Madison County,Central,Columbus,0.5852211959163831,10285,25934,0.47,0.5,13660,25827,19984,0.6923038430744596,24155,41.5,43947,40598,3296,557,4241,1600,414,71,72811,39097
Mahoning County,Northeast,Youngstown,0.4164700249649465,58482,160124,0.56,0.52,74844,165259,119968,0.4993248199519872,112973,43.2,229044,188109,40394,1972,26265,11062,2478,893,50750,39099
Marion County,Central,Columbus,0.5551137618732052,13581,38524,0.49,0.53,18494,40262,28151,0.6757486412560832,34906,41.2,65515,60787,5265,424,3947,1709,245,182,51144,39101
Medina County,Northeast,Cleveland,0.45703582299227347,59794,130728,0.55,0.54,73499,130169,106755,0.6051051472998923,90127,42.6,181448,176226,3948,1861,29208,12544,1918,984,82894,39103
Meigs County,Southeast,Charleston,0.6431904963937208,4714,14620,0.36,0.52,6496,15414,11091,0.7497971328103868,11225,42.8,22361,22233,384,53,1316,598,34,17,44113,39105
