county_name,precinct_name,precinct_code,region_name,media_market,registered_voters,ballots_counted,official_voter_turnout
Butler,OXFORD 6,AEY,Southwest,Cincinnati,463,13,2.8077753779697625
Butler,OXFORD 7,AEZ,Southwest,Cincinnati,647,28,4.327666151468315
Butler,OXFORD 8,AFA,Southwest,Cincinnati,854,134,15.690866510538642
Butler,OXFORD 9,AFB,Southwest,Cincinnati,1012,280,27.66798418972332
Butler,OXFORD 10,AFC,Southwest,Cincinnati,730,433,59.31506849315068
Butler,OXFORD 11,AFD,Southwest,Cincinnati,809,19,2.348578491965389
Butler,OXFORD 12,AFE,Southwest,Cincinnati,511,6,1.1741682974559686
Butler,OXFORD 13,AFF,Southwest,Cincinnati,775,369,47.61290322580645
Butler,TRENTON 1,AFH,Southwest,Cincinnati,239,59,24.686192468619247
Butler,TRENTON 2,AFI,Southwest,Cincinnati,1139,411,36.08428446005268
Butler,TRENTON 3,AFJ,Southwest,Cincinnati,1072,341,31.809701492537314
Butler,TRENTON 4,AFK,Southwest,Cincinnati,1213,389,32.069249793899424
Butler,TRENTON 5,AFL,Southwest,Cincinnati,546,107,19.5970695970696
Butler,TRENTON 6,AFM,Southwest,Cincinnati,1299,282,21.709006928406467
Butler,TRENTON 7,AFN,Southwest,Cincinnati,1237,312,25.222312045270815
Butler,FAIRFIELD TWP 1,AFO,Southwest,Cincinnati,717,310,43.23570432357043
Butler,FAIRFIELD TWP 2,AFP,Southwest,Cincinnati,642,113,17.601246105919003
Butler,FAIRFIELD TWP 3,AFQ,Southwest,Cincinnati,767,224,29.20469361147327
Butler,FAIRFIELD TWP 4,AFR,Southwest,Cincinnati,1130,444,39.29203539823009
Butler,FAIRFIELD TWP 5,AFS,Southwest,Cincinnati,655,212,32.36641221374046
Butler,FAIRFIELD TWP 6,AFT,Southwest,Cincinnati,1075,458,42.604651162790695
Butler,FAIRFIELD TWP 7,AFU,Southwest,Cincinnati,849,401,47.23203769140165
Butler,FAIRFIELD TWP 8,AFV,Southwest,Cincinnati,776,337,43.42783505154639
Butler,FAIRFIELD TWP 9,AFW,Southwest,Cincinnati,795,361,45.40880503144654
Butler,FAIRFIELD TWP 10,AFX,Southwest,Cincinnati,776,327,42.13917525773196
Butler,FAIRFIELD TWP 11,AFY,Southwest,Cincinnati,1175,482,41.02127659574468
Butler,FAIRFIELD TWP 12,AFZ,Southwest,Cincinnati,1364,550,40.32258064516129
Butler,FAIRFIELD TWP 13,AGA,Southwest,Cincinnati,485,180,37.11340206185567
Butler,HANOVER TWP 1,AGB,Southwest,Cincinnati,234,98,41.88034188034188
Butler,HANOVER TWP 2,AGC,Southwest,Cincinnati,809,327,40.42027194066749
Butler,HANOVER TWP 3,AGD,Southwest,Cincinnati,582,266,45.70446735395189
Butler,HANOVER TWP 4,AGE,Southwest,Cincinnati,844,368,43.60189573459716
Butler,HANOVER TWP 5,AGF,Southwest,Cincinnati,1015,409,40.29556650246305
Butler,HANOVER TWP 6,AGG,Southwest,Cincinnati,127,47,37.00787401574803
Butler,HANOVER TWP 7,AGH,Southwest,Cincinnati,953,338,35.46694648478489
Butler,LEMON TWP 1,AGJ,Southwest,Cincinnati,411,67,16.30170316301703
Butler,LEMON TWP 2,AGK,Southwest,Cincinnati,716,108,15.083798882681565
Butler,LIBERTY TWP 1,AGL,Southwest,Cincinnati,877,280,31.92702394526796
Butler,LIBERTY TWP 2,AGM,Southwest,Cincinnati,613,245,39.9673735725938
Butler,LIBERTY TWP 3,AGN,Southwest,Cincinnati,1088,425,39.0625
Butler,LIBERTY TWP 4,AGO,Southwest,Cincinnati,1084,468,43.17343173431734
Butler,LIBERTY TWP 5,AGP,Southwest,Cincinnati,1076,418,38.847583643122675
Butler,LIBERTY TWP 6,AGQ,Southwest,Cincinnati,1319,483,36.61865049279757
Butler,LIBERTY TWP 7,AGR,Southwest,Cincinnati,1335,614,45.99250936329588
Butler,LIBERTY TWP 8,AGS,Southwest,Cincinnati,1616,696,43.06930693069307
Butler,LIBERTY TWP 9,AGT,Southwest,Cincinnati,1065,446,41.87793427230047
Butler,LIBERTY TWP 10,AGU,Southwest,Cincinnati,1000,325,32.5
Butler,LIBERTY TWP 11,AGV,Southwest,Cincinnati,686,306,44.606413994169095
Butler,LIBERTY TWP 12,AGW,Southwest,Cincinnati,875,410,46.857142857142854
Butler,LIBERTY TWP 13,AGX,Southwest,Cincinnati,1038,480,46.24277456647399
Butler,MADISON TWP 1,AGY,Southwest,Cincinnati,1324,579,43.73111782477341
Butler,MADISON TWP 2,AGZ,Southwest,Cincinnati,1223,383,31.316434995911692
Butler,MADISON TWP 3,AHA,Southwest,Cincinnati,1295,521,40.23166023166023
Butler,MADISON TWP 4,AHB,Southwest,Cincinnati,1067,431,40.393626991565135
Butler,MADISON TWP 5,AHC,Southwest,Cincinnati,255,63,24.705882352941178
Butler,MADISON TWP 7,AHE,Southwest,Cincinnati,469,195,41.57782515991471
Butler,MILFORD TWP 1,AHF,Southwest,Cincinnati,1146,476,41.53577661431065
Butler,MILFORD TWP 2,AHH,Southwest,Cincinnati,1461,590,40.38329911019849
