"","What is your present religion, if any?","...2","Do you consider yourself to be an evangelical?","Do you attend religious services","How often do you: Pray in public with visible motions (sign of the cross, bowing, prostration, shokeling, etc)","How often do you: Pray in public using some kind of physical object (rosary, tefillin, etc)","How often do you: Pray aloud before meals in the presence of people who don't belong to your religion","How often do you: Tell someone you'll pray for him or her","How often do you: Ask or offer to pray with someone","How often do you: Bring up your religion, unprompted, in conversation","How often do you: Ask others about their religion, unprompted, in conversation","How often do you: Decline some kind of food or beverage for religious reasons (kosher, halal, fasting rules, etc)","How often do you: Wear religious clothing/jewelry (hijab, kippah, wig, kara, turban, cross, etc)","How often do you: Participate in a public religious event on the streets (Corpus Christi procession, inauguration of Torah scrolls, etc)","How comfortable do you feel when you: Pray in public with visible motions (sign of the cross, bowing, prostration, shokeling, etc)","How comfortable do you feel when you: Pray in public using some kind of physical object (rosary, tefillin, etc)","How comfortable do you feel when you: Pray aloud before meals in the presence of people who don't belong to your religion","How comfortable do you feel when you: Tell someone you'll pray for him or her","How comfortable do you feel when you: Ask or offer to pray with someone","How comfortable do you feel when you: Bring up your religion, unprompted, in conversation","How comfortable do you feel when you: Ask others about their religion, unprompted, in conversation","How comfortable do you feel when you: Decline some kind of food or beverage for religious reasons (kosher, halal, fasting rules, etc)","How comfortable do you feel when you: Wear religious clothing/jewelry (hijab, kippah, wig, kara, turban, cross, etc)","How comfortable do you feel when you: Participate in a public religious event on the streets (Corpus Christi procession, inauguration of Torah scrolls, etc)","How comfortable do you think someone outside your religion would be if they saw you: Pray in public with visible motions (sign of the cross, bowing, prostration, shokeling, etc)","How comfortable do you think someone outside your religion would be if they saw you: Pray in public using some kind of physical object (rosary, tefillin, etc)","How comfortable do you think someone outside your religion would be if they saw you: Pray aloud before meals in the presence of people who don't belong to your religion","How comfortable do you think someone outside your religion would be if they saw you: Tell someone you'll pray for him or her","How comfortable do you think someone outside your religion would be if they saw you: Ask or offer to pray with someone","How comfortable do you think someone outside your religion would be if they saw you: Bring up your religion, unprompted, in conversation","How comfortable do you think someone outside your religion would be if they saw you: Ask others about their religion, unprompted, in conversation","How comfortable do you think someone outside your religion would be if they saw you: Decline some kind of food or beverage for religious reasons (kosher, halal, fasting rules, etc)","How comfortable do you think someone outside your religion would be if they saw you: Wear religious clothing/jewelry (hijab, kippah, wig, kara, turban, cross, etc)","How comfortable do you think someone outside your religion would be if they saw you: Participate in a public religious event on the streets (Corpus Christi procession, inauguration of Torah scrolls, etc)","How comfortable would you be seeing someone who practices a different religion from you: Pray in public with visible motions (sign of the cross, bowing, prostration, shokeling, etc)","How comfortable would you be seeing someone who practices a different religion from you: Pray in public using some kind of physical object (rosary, tefillin, etc)","How comfortable would you be seeing someone who practices a different religion from you: Pray aloud before meals in the presence of people who don't belong to that religion","How comfortable would you be seeing someone who practices a different religion from you: Tell someone ""I'll pray for you""","How comfortable would you be seeing someone who practices a different religion from you: Ask or offer to pray with you","How comfortable would you be seeing someone who practices a different religion from you: Bring up his or her own religion, unprompted, in conversation","How comfortable would you be seeing someone who practices a different religion from you: Ask you about your religion, unprompted, in conversation","How comfortable would you be seeing someone who practices a different religion from you: Decline some kind of food or beverage for religious reasons (kosher, halal, fasting rules, etc)","How comfortable would you be seeing someone who practices a different religion from you: Wear religious clothing/jewelry (hijab, kippah, wig, kara, turban, cross, etc)","How comfortable would you be seeing someone who practices a different religion from you: Participate in a public religious event on the streets (Corpus Christi procession, inauguration of Torah scrolls, etc)","What is your age?","What is your gender?","How much total combined money did all members of your HOUSEHOLD earn last year?","US Region"
"642","Protestant",NA,"No","Weekly or more","A few times per month","Not applicable to my religious beliefs","A few times per week","A few times per month","A few times per month","A few times per month","A few times per week","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Not applicable to my religious beliefs","I don't do this","I don't do this","Very comfortable","Very comfortable","Extremely comfortable","Very comfortable","Very comfortable","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","I don't do this","I don't do this","I don't do this","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","60+","Male","$75,000 to $99,999",NA
"643","Agnostic",NA,"No","Never","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Never","Never","Never","Never","Never","Never",NA,"Never","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Very comfortable","Not at all comfortable","Not at all comfortable","Very comfortable","Not at all comfortable","Not at all comfortable","Somewhat comfortably","Very comfortable","Very comfortable","Very comfortable","45 - 59","Male","$150,000 to $174,999","South Atlantic"
"644","Mormon",NA,"No","Weekly or more","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Every day","A few times per week","A few times per month","A few times per week","A few times per week","A few times per month","Every day","Not applicable to my religious beliefs","I don't do this","I don't do this","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","I don't do this","I don't do this","I don't do this","Somewhat comfortably","Very comfortable","Very comfortable","Not so comfortable","Very comfortable","Extremely comfortable","Extremely comfortable","I don't do this","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","30 - 44","Male","$125,000 to $149,999","South Atlantic"
"645","Jewish",NA,"No","Less than weekly","Never","Never","Once a month or less","Once a month or less","Once a year or less","Never","Never","Never","Never","Never","I don't do this","I don't do this","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","I don't do this","I don't do this","Extremely comfortable","Somewhat comfortably","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","I don't do this","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","60+","Female","$50,000 to $74,999","South Atlantic"
"646","None of these","Dislike organized churches","No","Never","Never","Never","Never","Once a month or less","Never","Never","Never","Never","Never","Never","I don't do this","I don't do this","I don't do this","Not so comfortable","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Somewhat comfortably","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Very comfortable",NA,"Very comfortable","Very comfortable","Not so comfortable","Somewhat comfortably","Somewhat comfortably","Very comfortable","Very comfortable","Very comfortable","60+","Female","$200,000 and up","Pacific"
"647","None of these","Catholic","No","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Not at all comfortable","Not at all comfortable","Not at all comfortable","Not at all comfortable","Not at all comfortable","Not at all comfortable","Not at all comfortable","Not at all comfortable","Not at all comfortable","Not at all comfortable","30 - 44","Male","$25,000 to $49,999","South Atlantic"
"648","Atheist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat comfortably","Somewhat comfortably","Not so comfortable","Not so comfortable","Not at all comfortable","Not so comfortable","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Not so comfortable","60+","Male","$100,000 to $124,999","Middle Atlantic"
"649","Roman Catholic",NA,"No","Less than weekly","Every day","Never","Every day","Once a month or less","Never","A few times per month","Never","Never","Once a month or less","Once a year or less","Very comfortable","Very comfortable","Somewhat comfortably","Very comfortable","I don't do this","I don't do this","I don't do this","I don't do this","Very comfortable","Extremely comfortable","Not so comfortable","Not so comfortable","I don't do this","Somewhat comfortably","Somewhat comfortably","I don't do this","I don't do this","I don't do this","Somewhat comfortably","Extremely comfortable","Very comfortable","Very comfortable","Not so comfortable","Somewhat comfortably","Not so comfortable","Not so comfortable","Not so comfortable","Not at all comfortable","Somewhat comfortably","Very comfortable","30 - 44","Female","$50,000 to $74,999","Pacific"
"650","Protestant",NA,"No","Weekly or more","A few times per week","Not applicable to my religious beliefs","A few times per week","A few times per month","Never","A few times per month","Never","Not applicable to my religious beliefs","Once a year or less","Not applicable to my religious beliefs","Extremely comfortable","I don't do this","Extremely comfortable","Very comfortable","I don't do this","Somewhat comfortably","I don't do this","I don't do this","Extremely comfortable","I don't do this","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","I don't do this","Somewhat comfortably","Somewhat comfortably","I don't do this","Somewhat comfortably","I don't do this","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","18 - 29","Female","$25,000 to $49,999","South Atlantic"
"651","None of these","Pagan","No","Never","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Never","Never","Never","Never","Never","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Somewhat comfortably","Somewhat comfortably","Not so comfortable","Somewhat comfortably","Not so comfortable","Somewhat comfortably","Extremely comfortable","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","30 - 44","Male","$50,000 to $74,999","South Atlantic"
"652","Atheist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very comfortable","Very comfortable","Very comfortable","Somewhat comfortably","Not at all comfortable","Very comfortable","Somewhat comfortably","Very comfortable","Very comfortable","Very comfortable","60+","Male","$100,000 to $124,999","Middle Atlantic"
"653","Protestant",NA,"No","Weekly or more","Every day","Every day","A few times per week","Once a month or less","A few times per month","A few times per week","A few times per week","A few times per week","A few times per week","Once a month or less","Extremely comfortable","Very comfortable","Somewhat comfortably","Very comfortable","Somewhat comfortably","Extremely comfortable","Very comfortable","Very comfortable","Somewhat comfortably","Extremely comfortable","Extremely comfortable","Not so comfortable","Very comfortable","Extremely comfortable","Not so comfortable","Very comfortable","Somewhat comfortably","Very comfortable","Extremely comfortable","Somewhat comfortably","Somewhat comfortably","Extremely comfortable","Not so comfortable",NA,"Extremely comfortable","Very comfortable","Very comfortable","Somewhat comfortably","Very comfortable","Extremely comfortable","18 - 29","Male","$125,000 to $149,999","Middle Atlantic"
"654","Roman Catholic",NA,"No","Less than weekly","A few times per month",NA,"Once a month or less","Once a month or less","Once a month or less","Never","Never","Never","Never","Once a year or less","Extremely comfortable","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Not so comfortable","Somewhat comfortably","Not at all comfortable","Not so comfortable","Not so comfortable","Very comfortable","Extremely comfortable","Very comfortable","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Not so comfortable","Not so comfortable","Not so comfortable","Not so comfortable","Very comfortable","Very comfortable","Extremely comfortable","Very comfortable","Very comfortable","Very comfortable","Not so comfortable","Not so comfortable","Not so comfortable","Not so comfortable","Very comfortable","30 - 44","Female","$75,000 to $99,999",NA
"655","Agnostic",NA,"No","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this",NA,"I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Very comfortable","Very comfortable","Somewhat comfortably","Very comfortable","Very comfortable","Very comfortable","Somewhat comfortably","Somewhat comfortably","Very comfortable","Somewhat comfortably","18 - 29","Female","$50,000 to $74,999","South Atlantic"
"656","Roman Catholic",NA,"No","Less than weekly","A few times per month","Never","Once a year or less","A few times per week","Once a month or less","Once a year or less","Once a year or less","Once a year or less","Every day","Never","Very comfortable","I don't do this","Very comfortable","Extremely comfortable","Extremely comfortable","Very comfortable","Very comfortable","Somewhat comfortably","Extremely comfortable","I don't do this","Somewhat comfortably","Somewhat comfortably","Very comfortable","Extremely comfortable","Extremely comfortable","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Not so comfortable","Very comfortable","Very comfortable","Extremely comfortable","Extremely comfortable","Very comfortable","Somewhat comfortably","Somewhat comfortably","Extremely comfortable","Very comfortable","Not so comfortable","18 - 29","Female","$50,000 to $74,999","New England"
"657","Agnostic",NA,"No","Weekly or more","Not applicable to my religious beliefs","Never","Once a year or less","Once a month or less","Never","Once a month or less","Never","Never","Never","Never","I don't do this","I don't do this","Somewhat comfortably","Somewhat comfortably","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Somewhat comfortably","Somewhat comfortably","Not so comfortable","Somewhat comfortably","Somewhat comfortably","Not so comfortable","Not so comfortable","Not so comfortable","Somewhat comfortably","Somewhat comfortably","Very comfortable","Very comfortable","Very comfortable","Somewhat comfortably","Somewhat comfortably","Very comfortable","Somewhat comfortably","Very comfortable","Very comfortable","Very comfortable","30 - 44","Female","$125,000 to $149,999","Middle Atlantic"
"658","Protestant",NA,"No","Less than weekly","Never","Never","Never","Once a year or less","Once a year or less","Never","Never","Never","Never","Never","I don't do this","I don't do this","I don't do this","Very comfortable","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Not at all comfortable","Not at all comfortable","Extremely comfortable","Extremely comfortable","Somewhat comfortably","60+","Female","$75,000 to $99,999","South Atlantic"
"659","Atheist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very comfortable","Very comfortable","Very comfortable","Somewhat comfortably","Not so comfortable","Somewhat comfortably","Not so comfortable","Very comfortable","Very comfortable","Not so comfortable","30 - 44","Female","$25,000 to $49,999","Pacific"
"660","Agnostic",NA,"No","Never","Never","Never","Once a month or less","Once a year or less","Never","Never","Never","Never","Never","Never","I don't do this","I don't do this","Somewhat comfortably","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Not so comfortable","Not so comfortable","Very comfortable","Very comfortable","Very comfortable","60+","Male","$25,000 to $49,999","Pacific"
